Title,Date
"Peaky Blinders: Sæson 1: Episode 1","16/03/2020"
"Peaky Blinders: Sæson 5: Mr Jones","16/03/2020"
"Peaky Blinders: Sæson 5: The Shock","15/03/2020"
"Family Guy: Sæson 16: Are You There God? It's Me, Peter","15/03/2020"
"Family Guy: Sæson 16: The Unkindest Cut","15/03/2020"
"Peaky Blinders: Sæson 5: The Loop","15/03/2020"
"Peaky Blinders: Sæson 5: Strategy","15/03/2020"
"Peaky Blinders: Sæson 5: Black Cats","13/03/2020"
"Peaky Blinders: Sæson 5: Black Tuesday","13/03/2020"
"Family Guy: Sæson 16: HTTPete","13/03/2020"
"Det abstrakte: designkunst: Sæson 2: Skrifttypedesign – Jonathan Hoefler","13/03/2020"
"Family Guy: Sæson 16: Switch the Flip","08/03/2020"
"Family Guy: Sæson 16: Family Guy Through the Years","08/03/2020"
"Dark Tourist: Sæson 1: Latinamerika","08/03/2020"
"Family Guy: Sæson 16: The Woof of Wall Street","07/03/2020"
"Det abstrakte: designkunst: Sæson 1: Arkitektur – Bjarke Ingels","05/03/2020"
"Family Guy: Sæson 16: Veteran Guy","05/03/2020"
"Family Guy: Sæson 16: V Is for Mystery","04/03/2020"
"Family Guy: Sæson 16: Send in Stewie, Please","04/03/2020"
"Family Guy: Sæson 16: Dog Bites Bear","04/03/2020"
"Family Guy: Sæson 16: Boy (Dog) Meets Girl (Dog)","02/03/2020"
"Family Guy: Sæson 16: Don't Be a Dickens at Christmas","02/03/2020"
"Family Guy: Sæson 16: Crimes and Meg's Demeanor","02/03/2020"
"Family Guy: Sæson 16: Petey IV","02/03/2020"
"Night on Earth: Miniserie: Skumring til daggry","01/03/2020"
"Family Guy: Sæson 16: The D in Apartment 23","27/02/2020"
"Sunderland 'Til I Die: Sæson 1: A Fresh Start","23/02/2020"
"Sunderland 'Til I Die: Sæson 1: Changing the Landscape","22/02/2020"
"Sunderland 'Til I Die: Sæson 1: No Guarantees","22/02/2020"
"Family Guy: Sæson 16: Three Directors","22/02/2020"
"Family Guy: Sæson 16: Follow the Money","22/02/2020"
"Family Guy: Sæson 16: Nanny Goats","17/02/2020"
"Family Guy: Sæson 16: Foxx in the Men House","16/02/2020"
"Family Guy: Sæson 16: Emmy-Winning Episode","16/02/2020"
"Sunderland 'Til I Die: Sæson 1: Sticking Plasters","11/02/2020"
"Night on Earth: Miniserie: Søvnløse byer","10/02/2020"
"Expedition Happiness","10/02/2020"
"Sunderland 'Til I Die: Sæson 1: Rocking and Rolling","10/02/2020"
"Sunderland 'Til I Die: Sæson 1: Plastic Shoes","10/02/2020"
"Sunderland 'Til I Die: Sæson 1: We Can’t Walk Away","10/02/2020"
"Sunderland 'Til I Die: Sæson 1: Blinded By The Light","04/02/2020"
"Night on Earth: Miniserie: Det mørke hav","04/02/2020"
"Al Pitcher - Fy Fan Sverige!","04/02/2020"
"Mountain","03/02/2020"
"Night on Earth: Miniserie: Nat i junglen","02/02/2020"
"Night on Earth: Miniserie: Kolde nætter","02/02/2020"
"Night on Earth: Miniserie: Månebelyste sletter","01/02/2020"
"New Girl: Sæson 7: Engram Pattersky","01/02/2020"
"New Girl: Sæson 7: The Curse of the Pirate Bride","01/02/2020"
"New Girl: Sæson 7: Mario","30/01/2020"
"New Girl: Sæson 7: Godparents","30/01/2020"
"New Girl: Sæson 7: Where the Road Goes","30/01/2020"
"New Girl: Sæson 7: Lillypads","29/01/2020"
"New Girl: Sæson 7: Tuesday Meeting","29/01/2020"
"New Girl: Sæson 7: About Three Years Later","29/01/2020"
"New Girl: Sæson 6: Five Stars for Beezus","29/01/2020"
"New Girl: Sæson 6: San Diego","29/01/2020"
"New Girl: Sæson 3: Basketsball","28/01/2020"
"New Girl: Sæson 3: The Captain","28/01/2020"
"New Girl: Sæson 6: Misery","28/01/2020"
"New Girl: Sæson 6: Socalyalcon VI","28/01/2020"
"New Girl: Sæson 6: Young Adult","28/01/2020"
"New Girl: Sæson 6: Rumspringa","28/01/2020"
"Before the Flood","27/01/2020"
"Explained: Sæson 2: Pirater","27/01/2020"
"New Girl: Sæson 6: Operation: Bobcat","27/01/2020"
"New Girl: Sæson 6: Glue","27/01/2020"
"New Girl: Sæson 6: The Hike","27/01/2020"
"New Girl: Sæson 6: Cece's Boys","27/01/2020"
"New Girl: Sæson 6: The Cubicle","26/01/2020"
"New Girl: Sæson 6: Raisin's Back","26/01/2020"
"New Girl: Sæson 6: Christmas Eve Eve","26/01/2020"
"New Girl: Sæson 6: Es Good","26/01/2020"
"Verdens imperier: Osmannerriget: Sæson 1: Aske til aske","26/01/2020"
"Verdens imperier: Osmannerriget: Sæson 1: Ældgamle profetier","26/01/2020"
"Verdens imperier: Osmannerriget: Sæson 1: Forræderi","26/01/2020"
"Verdens imperier: Osmannerriget: Sæson 1: Op gennem Det Gyldne Horn","25/01/2020"
"Verdens imperier: Osmannerriget: Sæson 1: Gennem bymuren","25/01/2020"
"Verdens imperier: Osmannerriget: Sæson 1: Den nye sultan","24/01/2020"
"New Girl: Sæson 6: James Wonder","24/01/2020"
"New Girl: Sæson 6: Last Thanksgiving","24/01/2020"
"New Girl: Sæson 6: Ready","24/01/2020"
"New Girl: Sæson 6: Jaipur Aviv","24/01/2020"
"New Girl: Sæson 6: Homecoming","24/01/2020"
"New Girl: Sæson 6: Single and Sufficient","24/01/2020"
"New Girl: Sæson 6: Hubbedy Bubby","21/01/2020"
"New Girl: Sæson 6: House Hunt","21/01/2020"
"New Girl: Sæson 5: Landing Gear","21/01/2020"
"New Girl: Sæson 5: Wedding Eve","20/01/2020"
"New Girl: Sæson 5: Return to Sender","20/01/2020"
"New Girl: Sæson 5: Dress","20/01/2020"
"New Girl: Sæson 5: A Chill Day In","20/01/2020"
"New Girl: Sæson 5: Road Trip","20/01/2020"
"New Girl: Sæson 5: Helmet","20/01/2020"
"El Pepe: Et betydningsfuldt liv","20/01/2020"
"Captain Fantastic","20/01/2020"
"Messiah: Sæson 1: Syndens løn","19/01/2020"
"Messiah: Sæson 1: Gud er større","19/01/2020"
"Messiah: Sæson 1: Force majeure","19/01/2020"
"Messiah: Sæson 1: Det skete, som det var sagt","19/01/2020"
"Messiah: Sæson 1: Vi skal ikke alle sove","19/01/2020"
"Messiah: Sæson 1: De skal se og se, men intet forstå","19/01/2020"
"Messiah: Sæson 1: Rettergang","18/01/2020"
"Messiah: Sæson 1: Guds finger","18/01/2020"
"Messiah: Sæson 1: Rystelse","16/01/2020"
"Messiah: Sæson 1: Den, der har øre","16/01/2020"
"New Girl: Sæson 5: Jeff Day","15/01/2020"
"New Girl: Sæson 5: 300 Feet","15/01/2020"
"New Girl: Sæson 5: Sam, Again","15/01/2020"
"Sex, Explained: Miniserie: Tiltrækning","12/01/2020"
"Sex, Explained: Miniserie: Seksuelle fantasier","12/01/2020"
"Ricky Gervais: Humanity","12/01/2020"
"Good Will Hunting","12/01/2020"
"The Revenant","12/01/2020"
"The Two Popes","12/01/2020"
"Darkest Hour","03/01/2020"
"The Post","29/12/2019"
"The Man Who Knew Infinity","28/12/2019"
"Losing Sight of Shore","28/12/2019"
"Pedal the World","28/12/2019"
"New Girl: Sæson 5: D-Day","28/12/2019"
"New Girl: Sæson 5: The Apartment","28/12/2019"
"The Dawn Wall","24/12/2019"
"Hjem til jul: Sæson 1: Den store julefinale","17/12/2019"
"Explained: Sæson 2: Skønhed","17/12/2019"
"Hjem til jul: Sæson 1: Hjertesorg","15/12/2019"
"Explained: Sæson 2: Diamanter","15/12/2019"
"Hjem til jul: Sæson 1: Juleflirten","15/12/2019"
"Hjem til jul: Sæson 1: Den store juleløgn","10/12/2019"
"MINDHUNTER: Sæson 2: Episode 9","09/12/2019"
"New Girl: Sæson 5: Goosebumps Walkaway","08/12/2019"
"New Girl: Sæson 5: Heat Wave","08/12/2019"
"New Girl: Sæson 5: The Decision","08/12/2019"
"New Girl: Sæson 5: Wig","07/12/2019"
"Explained: Sæson 1: Finansiel ulighed mellem racerne","05/12/2019"
"Explained: Sæson 1: Den kvindelige orgasme","05/12/2019"
"Anden Verdenskrig i farver: World War II in Colour: Stilhed før stormen","05/12/2019"
"New Girl: Sæson 5: Reagan","02/12/2019"
"New Girl: Sæson 5: Bob & Carol & Nick & Schmidt","02/12/2019"
"New Girl: Sæson 5: No Girl","02/12/2019"
"MINDHUNTER: Sæson 2: Episode 8","01/12/2019"
"MINDHUNTER: Sæson 2: Episode 7","01/12/2019"
"MINDHUNTER: Sæson 2: Episode 6","30/11/2019"
"MINDHUNTER: Sæson 2: Episode 5","30/11/2019"
"Moneyball","30/11/2019"
"NOVA: Nøjagtigheden af forudsigelser","29/11/2019"
"Enemy at the Gates","29/11/2019"
"Et smukt sind","29/11/2019"
"Faldet af i svinget","29/11/2019"
"New Girl: Sæson 5: Jury Duty","29/11/2019"
"New Girl: Sæson 5: What About Fred","29/11/2019"
"MINDHUNTER: Sæson 2: Episode 4","25/11/2019"
"MINDHUNTER: Sæson 2: Episode 3","24/11/2019"
"MINDHUNTER: Sæson 2: Episode 2","24/11/2019"
"MINDHUNTER: Sæson 2: Episode 1","24/11/2019"
"New Girl: Sæson 5: Big Mama P","24/11/2019"
"New Girl: Sæson 4: Clean Break","24/11/2019"
"New Girl: Sæson 4: Panty Gate","24/11/2019"
"New Girl: Sæson 4: Par 5","24/11/2019"
"New Girl: Sæson 4: The Right Thing","22/11/2019"
"New Girl: Sæson 4: Walk of Shame","21/11/2019"
"New Girl: Sæson 4: Spiderhunt","21/11/2019"
"New Girl: Sæson 4: Oregon","21/11/2019"
"New Girl: Sæson 4: The Crawl","21/11/2019"
"New Girl: Sæson 4: Swuit","21/11/2019"
"New Girl: Sæson 4: Coming Out","20/11/2019"
"New Girl: Sæson 4: Shark","20/11/2019"
"New Girl: Sæson 4: LAXmas","20/11/2019"
"New Girl: Sæson 4: Girl Fight","20/11/2019"
"New Girl: Sæson 4: Thanksgiving IV","20/11/2019"
"New Girl: Sæson 4: Teachers","19/11/2019"
"New Girl: Sæson 4: Goldmine","19/11/2019"
"New Girl: Sæson 4: Background Check","17/11/2019"
"New Girl: Sæson 4: Landline","17/11/2019"
"New Girl: Sæson 4: Micro","17/11/2019"
"New Girl: Sæson 4: Julie Berkman's Older Sister","17/11/2019"
"Inside Bill's Brain: Decoding Bill Gates: Miniserie: Del 3","17/11/2019"
"Inside Bill's Brain: Decoding Bill Gates: Miniserie: Del 2","17/11/2019"
"New Girl: Sæson 4: Dice","13/11/2019"
"New Girl: Sæson 4: The Last Wedding","13/11/2019"
"New Girl: Sæson 3: Cruise","12/11/2019"
"New Girl: Sæson 3: Dance","12/11/2019"
"New Girl: Sæson 3: Big News","12/11/2019"
"New Girl: Sæson 3: Mars Landing","12/11/2019"
"New Girl: Sæson 3: Fired Up","12/11/2019"
"New Girl: Sæson 3: Sister III","10/11/2019"
"New Girl: Sæson 3: Sister II","10/11/2019"
"New Girl: Sæson 3: Sister","08/11/2019"
"New Girl: Sæson 3: Exes","08/11/2019"
"New Girl: Sæson 3: Prince","07/11/2019"
"New Girl: Sæson 3: Birthday","06/11/2019"
"New Girl: Sæson 3: Clavado En Un Bar","05/11/2019"
"New Girl: Sæson 3: Thanksgiving III","05/11/2019"
"New Girl: Sæson 3: Longest Night Ever","05/11/2019"
"New Girl: Sæson 3: Menus","04/11/2019"
"New Girl: Sæson 3: Coach","04/11/2019"
"New Girl: Sæson 3: Keaton","04/11/2019"
"New Girl: Sæson 3: The Box","03/11/2019"
"New Girl: Sæson 3: Double Date","03/11/2019"
"New Girl: Sæson 3: Nerd","03/11/2019"
"The King","03/11/2019"
"New Girl: Sæson 3: All In","02/11/2019"
"State of Play","01/11/2019"
"The Social Network","01/11/2019"
"Den store Gatsby","01/11/2019"
"About a Boy","01/11/2019"
"Family Guy: Sæson 13: Book of Joe","31/10/2019"
"Family Guy: Sæson 13: The Simpsons Guy: Del 2","28/10/2019"
"Family Guy: Sæson 13: The Simpsons Guy: Del 1","28/10/2019"
"Family Guy: Sæson 12: 3 Acts of God","28/10/2019"
"Between Two Ferns: The Movie","25/10/2019"
"How I Met Your Mother: Sæson 9: Last Forever: Part Two","21/10/2019"
"How I Met Your Mother: Sæson 9: Last Forever: Part One","21/10/2019"
"How I Met Your Mother: Sæson 9: The End of the Aisle","21/10/2019"
"How I Met Your Mother: Sæson 9: Gary Blauman","21/10/2019"
"How I Met Your Mother: Sæson 9: Daisy","20/10/2019"
"How I Met Your Mother: Sæson 9: Vesuvius","20/10/2019"
"How I Met Your Mother: Sæson 9: Rally","20/10/2019"
"How I Met Your Mother: Sæson 9: Sunrise","20/10/2019"
"How I Met Your Mother: Sæson 9: How Your Mother Met Me","20/10/2019"
"How I Met Your Mother: Sæson 9: Unpause","20/10/2019"
"How I Met Your Mother: Sæson 9: Slapsgiving 3: Slappointment in Slapmarra","18/10/2019"
"How I Met Your Mother: Sæson 9: Bass Player Wanted","18/10/2019"
"How I Met Your Mother: Sæson 9: The Rehearsal Dinner","18/10/2019"
"How I Met Your Mother: Sæson 9: Bedtime Stories","18/10/2019"
"How I Met Your Mother: Sæson 9: Mom and Dad","16/10/2019"
"How I Met Your Mother: Sæson 9: Platonish","16/10/2019"
"How I Met Your Mother: Sæson 9: The Lighthouse","16/10/2019"
"How I Met Your Mother: Sæson 9: No Questions Asked","15/10/2019"
"How I Met Your Mother: Sæson 9: Knight Vision","15/10/2019"
"How I Met Your Mother: Sæson 9: The Poker Game","15/10/2019"
"Peaky Blinders: Sæson 4: The Company","14/10/2019"
"Peaky Blinders: Sæson 4: The Duel","14/10/2019"
"How I Met Your Mother: Sæson 9: The Broken Code","13/10/2019"
"How I Met Your Mother: Sæson 9: Last Time in New York","13/10/2019"
"How I Met Your Mother: Sæson 9: Coming Back","13/10/2019"
"How I Met Your Mother: Sæson 9: The Locket","13/10/2019"
"How I Met Your Mother: Sæson 8: Something New","13/10/2019"
"How I Met Your Mother: Sæson 8: Something Old","12/10/2019"
"Peaky Blinders: Sæson 4: Dangerous","09/10/2019"
"Peaky Blinders: Sæson 4: Blackbird","08/10/2019"
"Peaky Blinders: Sæson 4: Heathens","06/10/2019"
"How I Met Your Mother: Sæson 8: The Bro Mitzvah","06/10/2019"
"How I Met Your Mother: Sæson 8: Romeward Bound","06/10/2019"
"Peaky Blinders: Sæson 4: The Noose","01/10/2019"
"Peaky Blinders: Sæson 3: Episode 6","29/09/2019"
"How I Met Your Mother: Sæson 8: The Time Travelers","29/09/2019"
"How I Met Your Mother: Sæson 8: The Fortress","29/09/2019"
"How I Met Your Mother: Sæson 8: Weekend at Barney's","29/09/2019"
"Peaky Blinders: Sæson 3: Episode 5","28/09/2019"
"Peaky Blinders: Sæson 3: Episode 4","24/09/2019"
"Peaky Blinders: Sæson 3: Episode 3","24/09/2019"
"Inside Bill's Brain: Decoding Bill Gates: Miniserie: Del 1","24/09/2019"
"How I Met Your Mother: Sæson 8: The Ashtray","24/09/2019"
"How I Met Your Mother: Sæson 8: Bad Crazy","24/09/2019"
"Peaky Blinders: Sæson 3: Episode 2","22/09/2019"
"Peaky Blinders: Sæson 3: Episode 1","16/09/2019"
"How I Met Your Mother: Sæson 8: P.S. I Love You","16/09/2019"
"Peaky Blinders: Sæson 2: Episode 6","15/09/2019"
"Peaky Blinders: Sæson 2: Episode 5","15/09/2019"
"Peaky Blinders: Sæson 2: Episode 4","11/09/2019"
"Peaky Blinders: Sæson 2: Episode 3","08/09/2019"
"Peaky Blinders: Sæson 2: Episode 2","05/09/2019"
"Peaky Blinders: Sæson 2: Episode 1","03/09/2019"
"The Highwaymen","12/08/2019"
"Venner: Sæson 7: The One with the Engagement Picture","12/08/2019"
"Venner: Sæson 7: The One with Rachel's Assistant","12/08/2019"
"Peaky Blinders: Sæson 1: Episode 6","11/08/2019"
"Venner: Sæson 7: The One with Phoebe's Cookies","11/08/2019"
"Venner: Sæson 7: The One with Rachel's Book","11/08/2019"
"Venner: Sæson 7: The One with Monica's Thunder","11/08/2019"
"Venner: Sæson 7: The One with the Vows","09/08/2019"
"Venner: Sæson 7: The One with Rachel's Big Kiss","09/08/2019"
"Peaky Blinders: Sæson 1: Episode 5","08/08/2019"
"Venner: Sæson 7: The One with Ross and Monica's Cousin","07/08/2019"
"Peaky Blinders: Sæson 1: Episode 4","06/08/2019"
"Peaky Blinders: Sæson 1: Episode 3","06/08/2019"
"Ace Ventura – detektiv","03/08/2019"
"How I Met Your Mother: Sæson 8: Ring Up!","28/07/2019"
"How I Met Your Mother: Sæson 8: Band or DJ?","28/07/2019"
"Operation Argo","28/07/2019"
"How I Met Your Mother: Sæson 8: The Final Page: Del 2","27/07/2019"
"How I Met Your Mother: Sæson 8: The Final Page: Del 1","27/07/2019"
"How I Met Your Mother: Sæson 8: The Over-Correction","27/07/2019"
"Aziz Ansari: RIGHT NOW","21/07/2019"
"How I Met Your Mother: Sæson 8: Lobster Crawl","20/07/2019"
"How I Met Your Mother: Sæson 8: Twelve Horny Women","20/07/2019"
"How I Met Your Mother: Sæson 8: The Stamp Tramp","19/07/2019"
"How I Met Your Mother: Sæson 8: Splitsville","19/07/2019"
"Family Guy: Sæson 12: Life of Brian","16/07/2019"
"21","15/07/2019"
"Kvinden der forsvandt","14/07/2019"
"Inception","14/07/2019"
"Family Guy: Sæson 12: Boopa-Dee Bappa-Dee","14/07/2019"
"Family Guy: Sæson 12: A Fistful of Meg","14/07/2019"
"Black Mirror: Sæson 5: Rachel, Jack and Ashley Too","14/07/2019"
"Stranger Things: Kap. 1: Will Byers forsvinder","14/07/2019"
"Black Mirror: Sæson 5: Smithereens","14/07/2019"
"Downsizing","11/07/2019"
"Two Night Stand","11/07/2019"
"Whiplash","11/07/2019"
"Black Mirror: Sæson 5: Striking Vipers","11/07/2019"
"Family Guy: Sæson 12: Quagmire's Quagmire","11/07/2019"
"Family Guy: Sæson 12: Vestigial Peter","11/07/2019"
"American Sniper","05/07/2019"
"Our Planet: Sæson 1: Skove","25/06/2019"
"Our Planet: Sæson 1: Ferskvand","25/06/2019"
"Our Planet: Sæson 1: Det åbne hav","23/06/2019"
"Arrested Development: Sæson 3: Development Arrested","08/06/2019"
"Arrested Development: Sæson 3: Exitstrategi","19/05/2019"
"Arrested Development: Sæson 3: Familiebånd","17/05/2019"
"Arrested Development: Sæson 3: Urent mel i posen","16/05/2019"
"Arrested Development: Sæson 3: Red Bluth-familien","16/05/2019"
"American Gangster","10/05/2019"
"GoodFellas","10/05/2019"
"Our Planet: Sæson 1: Fra ørken til græsland","04/05/2019"
"Arrested Development: Sæson 3: Bananasplit","04/05/2019"
"Arrested Development: Sæson 3: Prison Break-in","04/05/2019"
"Arrested Development: Sæson 3: Mr. Chance-syndromet","02/05/2019"
"Arrested Development: Sæson 3: Hr. F","02/05/2019"
"Arrested Development: Sæson 3: Ingen kylling","02/05/2019"
"Arrested Development: Sæson 3: Forglem-mig-nu","24/04/2019"
"Arrested Development: Sæson 3: Kun for britiske øjne","24/04/2019"
"Arrested Development: Sæson 3: Den om hytten","23/04/2019"
"Arrested Development: Sæson 2: De retskafne brødre","23/04/2019"
"Arrested Development: Sæson 2: Forårsfornemmelser","22/04/2019"
"Huge in France: Sæson 1: Épisode Un","21/04/2019"
"Gladiator","18/04/2019"
"Beasts of No Nation","13/04/2019"
"Romerriget: Caligula: Den gale kejser: Den retmæssige tronfølger","13/04/2019"
"The Evolution of Us: Sæson 1: How Did We Get Here?","13/04/2019"
"Afrikanske katte","13/04/2019"
"Arrested Development: Sæson 2: Mød familien","13/04/2019"
"Arrested Development: Sæson 2: Skæbnens sværd","13/04/2019"
"Arrested Development: Sæson 2: Den ubesmittede udvælgelse","11/04/2019"
"Arrested Development: Sæson 2: Mors dreng","11/04/2019"
"Arrested Development: Sæson 2: Hånden på hjertet","08/04/2019"
"Arrested Development: Sæson 2: På dybt vand","08/04/2019"
"Arrested Development: Sæson 2: Klar, parat, gift dig med mig!","08/04/2019"
"Arrested Development: Sæson 2: Brændende kærlighed","07/04/2019"
"Arrested Development: Sæson 2: Dronning for en dag","07/04/2019"
"Arrested Development: Sæson 2: Dobbeltspil","05/04/2019"
"Arrested Development: Sæson 2: Eftermiddagssamkvem","05/04/2019"
"Arrested Development: Sæson 2: Pose under øjnene","05/04/2019"
"Arrested Development: Sæson 2: Magisk begravelse","05/04/2019"
"Arrested Development: Sæson 2: ¡Amigos!","05/04/2019"
"Arrested Development: Sæson 2: Den, hvor de bygger et hus","04/04/2019"
"Arrested Development: Sæson 2: Den, hvor Michael stikker af","04/04/2019"
"Arrested Development: Sæson 1: Lad dem spise kage","02/04/2019"
"Arrested Development: Sæson 1: Ikke uden min datter","02/04/2019"
"Arrested Development: Sæson 1: Whistleblowing","01/04/2019"
"Arrested Development: Sæson 1: Gobs brud","01/04/2019"
"Arrested Development: Sæson 1: Hvor er Kitty?","01/04/2019"
"Arrested Development: Sæson 1: Retfærdighed er blind","31/03/2019"
"Arrested Development: Sæson 1: Alter egoer","31/03/2019"
"Arrested Development: Sæson 1: Stab-ylokokker","31/03/2019"
"Arrested Development: Sæson 1: Etiske dilemmaer","31/03/2019"
"Arrested Development: Sæson 1: Hermanos","31/03/2019"
"Arrested Development: Sæson 1: Marta-kompleks","30/03/2019"
"Arrested Development: Sæson 1: PR","29/03/2019"
"Arrested Development: Sæson 1: Taget på fersk gerning","28/03/2019"
"Arrested Development: Sæson 1: Frontalangreb","27/03/2019"
"Arrested Development: Sæson 1: Pas på i trafikken","27/03/2019"
"Arrested Development: Sæson 1: Med lov skal land flygtes","26/03/2019"
"Arrested Development: Sæson 1: Ægteskabeligt besøg","26/03/2019"
"Arrested Development: Sæson 1: Velgørenhedskørsel","26/03/2019"
"Arrested Development: Sæson 1: Vigtige beslutninger","25/03/2019"
"Arrested Development: Sæson 1: Buster bliver voksen","25/03/2019"
"Arrested Development: Sæson 1: Flamberet banan","25/03/2019"
"Arrested Development: Sæson 1: Pilotepisode","25/03/2019"
"David Brent: Life on the Road","24/03/2019"
"How I Met Your Mother: Sæson 8: The Autumn of Break-Ups","21/03/2019"
"How I Met Your Mother: Sæson 8: Who Wants to Be a Godparent?","21/03/2019"
"How I Met Your Mother: Sæson 8: Nannies","21/03/2019"
"How I Met Your Mother: Sæson 8: The Pre-Nup","18/03/2019"
"How I Met Your Mother: Sæson 8: Farhampton","18/03/2019"
"How I Met Your Mother: Sæson 7: The Magician's Code Del 2","17/03/2019"
"Public Enemies","16/03/2019"
"After Life: Sæson 1: Episode 6","16/03/2019"
"After Porn Ends 2","16/03/2019"
"After Life: Sæson 1: Episode 5","16/03/2019"
"Jim og Andy","14/03/2019"
"Dirty Money: Sæson 1: Hard NOx","14/03/2019"
"Best of Enemies","14/03/2019"
"How I Met Your Mother: Sæson 7: The Magician's Code Del 1","14/03/2019"
"After Life: Sæson 1: Episode 4","13/03/2019"
"After Life: Sæson 1: Episode 3","13/03/2019"
"After Life: Sæson 1: Episode 2","12/03/2019"
"After Life: Sæson 1: Episode 1","12/03/2019"
"Get Me Roger Stone","10/03/2019"
"How I Met Your Mother: Sæson 7: Good Crazy","04/03/2019"
"Birdman","01/03/2019"
"House of Cards: Sæson 6: Kapitel 69","27/02/2019"
"House of Cards: Sæson 6: Kapitel 68","26/02/2019"
"House of Cards: Sæson 6: Kapitel 67","26/02/2019"
"House of Cards: Sæson 6: Kapitel 66","25/02/2019"
"Chef's Table: Bind 6: Mashama Bailey","23/02/2019"
"Du: Sæson 1: Amour Fou","05/02/2019"
"Du: Sæson 1: At leve med fjenden","05/02/2019"
"Du: Sæson 1: Kaptajnen","03/02/2019"
"Du: Sæson 1: Måske","03/02/2019"
"Du: Sæson 1: Den sidste søde fyr i New York","02/02/2019"
"Du: Sæson 1: Pilotepisode","02/02/2019"
"How I Met Your Mother: Sæson 6: Challenge Accepted","21/01/2019"
"How I Met Your Mother: Sæson 6: Landmarks","20/01/2019"
"How I Met Your Mother: Sæson 6: The Perfect Cocktail","18/01/2019"
"How I Met Your Mother: Sæson 6: Hopeless","16/01/2019"
"Family Guy: Sæson 15: Dearly Deported","14/01/2019"
"Family Guy: Sæson 15: A House Full of Peters","12/01/2019"
"Family Guy: Sæson 15: The Peter Principal","09/01/2019"
"Family Guy: Sæson 15: Peter's Lost Youth","07/01/2019"
"Family Guy: Sæson 15: Saturated Fat Guy","06/01/2019"
"Family Guy: Sæson 15: Cop and a Half-Wit","06/01/2019"
"Family Guy: Sæson 15: The Dating Game","05/01/2019"
"Black Mirror: Sæson 4: Black Museum","04/01/2019"
"Family Guy: Sæson 15: The Finer Strings","04/01/2019"
"Family Guy: Sæson 15: Peter's Def Jam","04/01/2019"
"Family Guy: Sæson 15: Gronkowsbees","03/01/2019"
"Black Mirror: Sæson 4: Metalhead","03/01/2019"
"Family Guy: Sæson 15: Passenger Fatty-Seven","03/01/2019"
"Family Guy: Sæson 15: How the Griffin Stole Christmas","03/01/2019"
"The Dark Knight","01/01/2019"
"How I Met Your Mother: Sæson 6: The Exploding Meatball Sub","31/12/2018"
"How I Met Your Mother: Sæson 6: Legendaddy","31/12/2018"
"How I Met Your Mother: Sæson 6: A Change of Heart","30/12/2018"
"Black Mirror: Sæson 4: Crocodile","26/12/2018"
"Black Mirror: Sæson 4: Arkangel","26/12/2018"
"The Ballad of Buster Scruggs","26/12/2018"
"Nymfer: Sæson 1: Full Moon","25/12/2018"
"Notting Hill","22/12/2018"
"How I Met Your Mother: Sæson 6: Garbage Island","21/12/2018"
"How I Met Your Mother: Sæson 6: Desperation Day","20/12/2018"
"How I Met Your Mother: Sæson 6: Oh Honey","20/12/2018"
"How I Met Your Mother: Sæson 6: Last Words","20/12/2018"
"How I Met Your Mother: Sæson 6: Bad News","19/12/2018"
"How I Met Your Mother: Sæson 6: False Positive","18/12/2018"
"How I Met Your Mother: Sæson 6: The Mermaid Theory","18/12/2018"
"How I Met Your Mother: Sæson 6: Blitzgiving","18/12/2018"
"O Brother, Where Art Thou?","01/12/2018"
"Primal Fear","01/12/2018"
"MINDHUNTER: Sæson 1: Episode 10","26/11/2018"
"MINDHUNTER: Sæson 1: Episode 9","26/11/2018"
"MINDHUNTER: Sæson 1: Episode 8","26/11/2018"
"MINDHUNTER: Sæson 1: Episode 6","25/11/2018"
"MINDHUNTER: Sæson 1: Episode 7","25/11/2018"
"How I Met Your Mother: Sæson 6: Glitter","23/11/2018"
"How I Met Your Mother: Sæson 6: Natural History","21/11/2018"
"How I Met Your Mother: Sæson 6: Canning Randy","21/11/2018"
"How I Met Your Mother: Sæson 6: Baby Talk","21/11/2018"
"How I Met Your Mother: Sæson 6: Architect of Destruction","21/11/2018"
"MINDHUNTER: Sæson 1: Episode 5","14/11/2018"
"MINDHUNTER: Sæson 1: Episode 4","13/11/2018"
"MINDHUNTER: Sæson 1: Episode 3","13/11/2018"
"How I Met Your Mother: Sæson 6: Subway Wars","12/11/2018"
"How I Met Your Mother: Sæson 6: Unfinished","12/11/2018"
"MINDHUNTER: Sæson 1: Episode 2","05/11/2018"
"MINDHUNTER: Sæson 1: Episode 1","30/10/2018"
"How I Met Your Mother: Sæson 6: Cleaning House","30/10/2018"
"How I Met Your Mother: Sæson 6: Big Days","30/10/2018"
"How I Met Your Mother: Sæson 5: Doppelgangers","29/10/2018"
"How I Met Your Mother: Sæson 5: The Wedding Bride","29/10/2018"
"How I Met Your Mother: Sæson 5: Robots Vs. Wrestlers","28/10/2018"
"How I Met Your Mother: Sæson 5: Twin Beds","27/10/2018"
"How I Met Your Mother: Sæson 5: Home Wreckers","27/10/2018"
"Black Mirror: Sæson 4: USS Callister","19/10/2018"
"Black Mirror: Sæson 3: Hated in the Nation","15/10/2018"
"How I Met Your Mother: Sæson 5: Zoo or False","15/10/2018"
"How I Met Your Mother: Sæson 5: Say Cheese","15/10/2018"
